,语言能力,总量
881,普通话：精通 ,2
882,"普通话标准,语水平一般.",2
883,大学语CET-4,2
884,国语水平：良好************粤语水平：良好,2
885,普通话：精通  广东话：一般******语：听：良好，说：精通，读：精通，写：,2
886,精通汉语,2
887,语一般************普通话标准,2
888,普通话标准，会粤语,2
889,普通话：精通  广东话：良好******语：听：良好，说：一般，读：精通，写：,2
890,普通话\粤语,2
891,普通话标准************语良好************,2
892,俄语四级,2
893,普通话：精通  广东话：一般************语：听：良好，说：良好，,2
894,语一般、粤语一般、普通话流利,2
895,首先，我有一颗真诚的心，遇事沉着冷静，不急不躁； ************其次，,2
896,普通话：精通  广东话：能听懂******语：听：一般，说：一般，读：良好，写,2
897,本人性格开朗、活跃，乐观向上，爱好广泛，拥有较强的组织能力和适应能力，并具有良好,2
898,流利的普通话.,2
899,普通话，粤语良好,2
900,普通话熟练、大学语四级,2
901,  普通话流利，语良好,2
902,普通话：良好************语：四级,2
903,语读写能力一般,2
904,普通话熟练************语四级,2
905,普通话流利，粤语良好,2
906,汉语精通************语一般,2
907,能讲一口流利的普通话,2
908,熟悉Windows ****/****/XP 操作系统平台，能熟练使用Microso,2
909,国语 粤语 ,2
910,普通话：流利************粤语：一般************语：一般,2
911,流利的普通话,2
912,一口流利的普通话。,2
913,普通话，粤语流利，语良好,2
914,普通话标准.语一般.,2
915,善于沟通。,2
916,较强的语言组织能力。,2
917,精通语,2
918,普通话：良好  广东话：精通******语：听：良好，说：良好，读：良好，写：,2
919, 语良好,2
920,会普通话，************懂基础语。,2
921,语言沟通能力较强,2
922,普通话二级甲等。,2
923,广东话，普通话,2
924,语一般，国语标准,2
925,语  普通话,2
926,普通话、语四级,2
927,普通话流利，语能力一般。,2
928,CET6************,2
929,语CET-4(****分),2
930,能熟练的进行听、说、读、写，并通过国家语六级考试，对于一般的商业信函以及商业资,2
931,    普通话流利,2
932,  中文,2
933,语水平一般，普通话流利,2
934, 普通话标准,2
935,精通粤语和普通话,2
936,能熟练使用各类办公软件，良好的文字表达和写作能力。************语四,2
937,基本语,2
938,语口语三级,2
939,普通话：精通  广东话：一般************语：良好,2
940,有很好的普通话表达能力,2
941,"熟练粤语,普通话",2
942,粤语良好,2
943,沟通理解能力强,2
944,普通话，粤语，潮汕话,2
945,语:一般************粤语:一般,2
946,沟通能力较强。,2
947,通过大学语六级考试,2
948,普通话（熟练）************语（一般）,2
949,国家语四级（CET-4）,2
950,普通话：标准************语：四级,2
951,"普通话熟练,粤语一般",2
952,语　良好,2
953,普通话 良好************语 良好,2
954,语、粤语、普通话,2
955,良好的沟通能力。,2
956,"普通话优秀,广东话良好,文一般.有较好的语言组织能力,且思维敏捷.",2
957,普通话：熟练************粤语：一般,2
958,普通话精通。,2
959,中文熟练，文一般,2
960,普通话：精通  广东话：精通************语：听：良好，说：精通，读,2
961,普通话标准，语口语一般,2
962,普通话标准.语一般,2
963,善于沟通，,2
964,国语、粤语、客家话,2
965,国语流利，粤语流利，能听、读懂基本的语。,2
966, 普通话流利,2
967,语听说读写良好。,2
968,普通话流利，粤语熟练,2
969,能讲流利的普通话,2
970,普通话流利，善于沟通。,2
971,普通话：精通  广东话：精通************语：听：熟练，说：良好，读,2
972,"良好,",2
973,精通国、粤语,2
974,普通话流利************大学语四级,2
975,中文熟练************语一般,2
976,普通话流利，语能力一般,2
977,表达能力较好,2
978,语     一般,2
979,普通话熟练************粤语熟练************客家话熟练,2
980,国语，广东话，语良好.,2
981,语，四级,2
982,CET-4  ,2
983,语四级已过,2
984,会粤语，有较强的应变和协调能力。,2
985,普通话 精通************粤语   精通************语 ,2
986,普通话：良好************语：良好,2
987,    语水平一般。,2
988,普通话水平一般,2
989,懂白话,2
990,普通话，潮汕话,2
991,普通话：精通  广东话：一点点************语：听：一般，说：一般，,2
992,大学生语四级,2
993,    一般,2
994,有较好的语言沟通能力,2
995,普通话：良好  广东话：不会************语：一般,2
996,精通粤语,2
997,语 一般 ; 普通话 标准,2
998,语言表达清晰,2
999,语2A,2
1000,语良好，,2
1001,普通话熟练************,2
1002,************************,2
1003,通过国家语三级，能进行简单的语读、写、听交流，普通话标准！,2
1004,会广东话,2
1005,"普通话流利,粤语流利，语良好。",2
1006,**,2
1007,语  一般  ************汉语  熟练  ************,2
1008,熟悉语,2
1009,普通话：熟练 语：一般 ,2
1010,普通话、粤语、客家话。,2
1011,语CET-4 ,2
1012,语六级，普通话标准,2
1013,具有较强的沟通能力,2
1014,全国语三级A,2
1015,"普通话标准,语熟练.",2
1016,懂广东话,2
1017,普通话：良好  ************广东话：一般************语,2
1018,喜欢交流,2
1019,中文.,2
1020,文 一般,2
1021,语口语熟练,2
1022,"语一般,粤语一般,普通话标准.",2
1023, 中文,2
1024,普通话精通，语一般。,2
1025,"语一般,国语熟练!",2
1026,普通话流利，白话一般。,2
1027,精通国语和粤语,2
1028,语************粤语************,2
1029,普通话：精通  广东话：精通******语：听：一般，说：不会，读：不会，写：,2
1030,语四级 ****,2
1031,通过国家语六级考试,2
1032,***,2
1033,熟练的语听说读写能力,2
1034,普通话：精通  广东话：不会******语：听：精通，说：一般，读：精通，写：,2
1035,语  一般************,2
1036,具有一定的语阅读能力,2
1037,普通话流利，语4级,2
1038,广东话、客家话、普通话,2
1039,普通话流利************广东话流利,2
1040,普通话标准，语国家四级,2
1041,普通话  广东话,2
1042,会简单日语,2
1043,普通话标准，外语一般。,2
1044,国家语四级水平,2
1045,普通话：精通  广东话：精通******语：听：一般，说：一般，读：精通，写：,2
1046,普通话流利，粤语良好。,2
1047,   语三级,2
1048,普通话标准，语一般，,2
1049,汉语，语。,2
1050,粤语  普通话,2
1051,通过国家语六级,2
1052, 一般,2
1053,普通话标准************语三级,2
1054,语：一般************普通话：精通,2
1055,中文、语,2
1056,语读写能力强,2
1057,普通话：精通  ************语：听：一般，说：一般，读：良好，写：,2
1058,语四级（CET-4）,2
1059,    普通话流利，语水平一般。,2
1060,普通话，粤语流利！,2
1061,粤语、国语流利，语一般。,2
1062,语达到四级水平,2
1063,语 良好************日语 一般,2
1064,语良好  ,2
1065,普通话、白话流利,2
1066,取得语三级证书,2
1067,普通话、客家话、白话,2
1068,良好的语听、说、读、写能力。,2
1069,　,2
1070,粤语/国语,2
1071,普通话流利；语具基本读写能力,2
1072,沟通良好,2
1073,普通话良好，语水平一般。,2
1074,普通话二级乙等************语六级,2
1075,国语普通话,2
1076,  ************************************  ,2
1077,语CET6,2
1078,通过国家大学语六级,2
1079,语水平：  CET-4 ,2
1080,普通话标准、粤语熟练,2
1081,普通话，客家话，粤语,2
1082,表达能力强，善于沟通。,2
1083,普通话很好,2
1084,普通话：一般  广东话：一般******语：听：不会，说：不会，读：不会，写：,2
1085,"语一般,普通话标准.",2
1086,"普通话流利,可任意交流!************语良好,可听懂大部分生活语",2
1087,语言表达能力强，沟通能力强。,2
1088,"汉语,语,粤语",2
1089,精通国语，外语水平一般,2
1090,有一定的沟通能力,2
1091,粤语、国语熟练,2
1092,语.,2
1093,普通话，标准,2
1094,普通话良好************语良好,2
1095,粤语，国语良好，语一般,2
1096,语水平：良好,2
1097,普通话标准流利，语一般。,2
1098,普通话标准流利，语水平一般,2
1099,具备听说读的能力,2
1100,语 熟练 ,2
1101,  国家语四级,2
1102,普通话流利，语一般！,2
1103,普通话精通，语良好。,2
1104,普通话标准，粤语良好，语一般,2
1105,语  言  能  力：  普通话流利 ************语口语：  一般,2
1106,口齿清晰，有一口标准的普通话，流利的粤语，对语有一定的基础.,2
1107,普通话标准 语一般 ,2
1108,语。,2
1109,熟练普通话，广东话,2
1110,语言表达一般,2
1111,语一般，普通话二级乙等,2
1112,表达能力清晰,2
1113,语听说读写良好,2
1114,语言能力：  普通话流利 ************语水平：  CET-6 **,2
1115,语：一般************普通话：熟练,2
1116,     语一般,2
1117,语--一般,2
1118,语 国家六级,2
1119,具有良好的语言表达能力,2
1120,语、普通话、粤语,2
1121,熟练语,2
1122,"国语,白话",2
1123,语读写,2
1124,沟通能力强.,2
1125,普通语四级,2
1126,"普通话流利,语一般.",2
1127,语：一般   普通话：标准,2
1128,语水平一般，粤语、普通话熟练。,2
1129,语四级************普通话二级甲等,2
1130,熟练普通话，语一般,2
